mean, std
-43.523753, 7.421814
-64.578323, 8.69797
-37.973636, 6.832197
-44.036488, 5.966623
-50.861247, 7.77832
-233.272933, 23.779152
-50.010004, 8.916853
-38.85344, 6.860793
-34.867509, 5.277872
-41.407718, 4.801131
-45.195332, 8.665667
-21.478255, 3.749691
-58.383181, 8.700551
-24.40934, 4.416136
-47.614287, 8.364684
-39.59011, 6.342714
